name,latitude,longitude,historic,tourism,amenity
Großes Zittauer Fastentuch 1472,50.8979167,14.8112287,Unknown,attraction,Unknown
Větrný mlýn,49.675561,14.3822432,Unknown,attraction,Unknown
Kopiec Piłsudskiego,50.06005,19.8471666,monument,viewpoint,Unknown
Trójstyk granic PL-CZ-SK,49.5173794,18.8510358,memorial,attraction,Unknown
Trojmezí CZ-SK-PL,49.517389,18.850828,memorial,attraction,Unknown
Trojmedzie hraníc SK-PL-CZ,49.5167033,18.8508687,memorial,attraction,Unknown
Mars,50.2845347,14.3387304,memorial,attraction,Unknown
Sfinga,50.2909965,14.3349735,Unknown,attraction,Unknown
Zdrój Ziemroźka,49.4405616,20.4291346,Unknown,attraction,drinking_water
Cotta-Eiche,50.8650423,14.1284854,Unknown,attraction,Unknown
Pomnik Państwa Podziemnego i AK,52.2251822,21.0263233,monument,Unknown,Unknown
Rynek trójkątny,52.1061985,19.9362951,Unknown,attraction,Unknown
Stary Rynek,52.1078061,19.9446099,Unknown,attraction,Unknown
Farma Noego,53.3411993,19.8200963,Unknown,attraction,Unknown
Flüsterbogen,51.1568563,14.9908664,Unknown,attraction,Unknown
Grzybek,49.777854,20.9714622,Unknown,attraction,Unknown
Baszta Paderewskiego,49.7786865,20.9699944,Unknown,attraction,Unknown
Jaskinia Ciężkowicka,49.7777509,20.9657212,Unknown,attraction,Unknown
Warownia Górna,49.7776996,20.9653677,Unknown,attraction,Unknown
Warownia Dolna,49.7778186,20.9648218,Unknown,attraction,Unknown
Orzeł,49.776646,20.9656063,Unknown,attraction,Unknown
Dzik,49.7765629,20.9661132,Unknown,attraction,Unknown
menhir Zkamenělý slouha,50.1431696,14.451847,archaeological_site,attraction,Unknown
Kobbelner Stein,52.0989396,14.5586277,Unknown,attraction,Unknown
Przełęcz Małastowska,49.5441074,21.2424824,Unknown,attraction,Unknown
Vesmírný znak,49.862429,17.8712089,Unknown,attraction,Unknown
Przełom Białki,49.4288706,20.1285226,Unknown,attraction,Unknown
Pomnik Piwnicy pod Baranami,50.0652749,19.8715272,monument,Unknown,Unknown
Storchenhof,53.9444526,14.1359909,Unknown,attraction,Unknown
Skalní Bludiště,50.4568725,14.6187092,Unknown,attraction,Unknown
Sklep Krystyny Więcławskiej,52.0653945,21.8476763,Unknown,attraction,Unknown
Jihlavské podzemí,49.3970182,15.5914542,Unknown,attraction,Unknown
Čertův Most,49.7123149,17.0116814,Unknown,attraction,Unknown
Karussel,50.8999642,14.0786647,Unknown,attraction,Unknown
Cmentarzowa Góra,54.6952116,18.685193,cemetery,attraction,Unknown
Vyšehrad,50.0644233,14.4173861,Unknown,attraction,Unknown
Kaffeekrug Hamannwand,51.197054,14.8463122,Unknown,attraction,Unknown
Nedamy (skalní hrad),50.4466724,14.5756592,Unknown,attraction,Unknown
Adršpašsko-teplické skály,50.6153703,16.1226712,Unknown,attraction,Unknown
Sloní náměstí,50.6110163,16.1162612,Unknown,attraction,Unknown
Gotická branka,50.611367,16.1166589,Unknown,attraction,Unknown
protržená přehrada Bílá Desná,50.8008888,15.2770866,Unknown,attraction,Unknown
Царква Святога Іаана Хрысціцеля,52.4493662,23.6009823,Unknown,attraction,place_of_worship
Хата Дзеда Мароза,52.6172582,23.8987781,Unknown,attraction,Unknown
Межавы знак,52.0917992,23.6864446,boundary_stone,attraction,Unknown
Т-34,52.083662,23.6611081,Unknown,attraction,Unknown
Стэла «Брэст»,52.1093998,23.8138909,monument,Unknown,Unknown
Pomník Mrtvé baterie,50.2789078,15.7426129,monument,Unknown,Unknown
Pomník míru,49.1908698,16.6056466,monument,Unknown,Unknown
Felsenlabyrinth,50.8882487,14.0314734,Unknown,attraction,Unknown
Помнік савецкім памежнікам,53.672481,23.802669,monument,attraction,Unknown
Pomnik Żołnierza Polskiego,50.2506271,19.0351586,monument,Unknown,Unknown
Święty Jan Nepomucen,51.1146228,17.0437212,memorial,attraction,Unknown
Madonna z Dzieciątkiem,51.1141637,17.0456361,memorial,attraction,Unknown
Bitwa pod Koronowem,53.3208164,17.9237549,battlefield,attraction,Unknown
Lessing-Gedenkstätte,51.2683782,14.0944692,Unknown,attraction,Unknown
Lurdy,49.7799893,14.2605893,Unknown,attraction,Unknown
Szubienica,50.0266521,19.2034731,gallows,attraction,Unknown
